engelsk,CEFR,gender,ord,wordAudio,uttale,etymologi,definisjon,sentenceAudio,eksempel,sentenceTranslation,sentenceToDelete
crayon,B1,en,fargestift,X,,,(skrive- og) tegneredskap av fargestoff og bindemiddel,X,Barnet satt på gulvet og tegnet med en rød fargestift.,The child sat on the floor and drew with a red crayon.,
dye,B2,et,fargestoff,X,,German,stoff brukt til å sette farge på noe,X,Stoffet inneholdt et naturlig fargestoff.,The fabric contained a natural dye.,
pharisaical,C,adjective,fariseisk,X,,,"som gjelder fariseere og fariseisme; som tror at en selv er bedre enn andre; selvrettferdig, skinnhellig",X,Han ble oppfattet som fariseisk i måten han kritiserte andre på.,He was perceived as pharisaical in the way he criticized others.,
pharisaism,C,en,fariseisme,X,,,"jødisk læretradisjon som la vekt på å holde Moseloven; selvrettferdighet, hykleri",X,Hun ble beskyldt for fariseisme da hun ba andre om å følge regler hun selv brøt.,She was accused of pharisaism when she asked others to follow rules she herself broke.,
vehicle,B2,en,farkost,X,,Old Norse: farkostr,"transportmiddel, særlig til sjøs",X,En gammel farkost lå fortøyd ved elvebredden.,An old ship was moored on the riverbank.,
dangerous,A2,adjective,farlig,X,,German: vārlik,som innebærer eller fører med seg fare,X,Det er farlig å kjøre bil uten sikkerhetsbelte.,Driving a car without a seatbelt is dangerous.,
farm,B2,en,farm,X,[farm],English,gårdsbruk; anlegg for avl av dyr,X,De bor på en stor farm utenfor byen.,They live on a large farm outside the city.,
pharmacologist,C,en,farmakolog,X,,,person med farmakologi som fag,X,Farmakologen forklarte hvordan legemiddelet virker.,The pharmacologist explained how the drug works.,
pharmacology,C,en,farmakologi,X,,,"lære om legemidlenes sammensetning, bruk og virkemåte",X,Farmakologi handler om legemidlers virkning i kroppen.,Pharmacology deals with how drugs act in the body.,
pharmaceutics,B2,en,farmasi,X,[farmasi:´],Greek via Latin,lære om fremstilling av legemidler,X,Hun studerte farmasi ved universitetet.,She studied pharmacy at university.,
pharmacist,B2,en,farmasøyt,X,,Greek via Latin,person som er utdannet i farmasi,X,Rådgiveren var en erfaren farmasøyt.,The advisor was an experienced pharmacist.,
farmer,B2,en,farmer,X,[fa`rmər],English,person som driver en farm,X,Han er en farmer som dyrker økologiske grønnsaker.,He is a farmer who grows organic vegetables.,
grandmother,A1,ei,farmor,X,,,bestemor på farssiden; fars mor,X,Farmor lager god mat.,Grandma makes good food.,
Father's Day,A2,en,farsdag,X,,English,"dag til ære for fedre, i Norge feiret andre søndag i november",X,De feiret farsdag med kake og gaver.,They celebrated Father's Day with cake and presents.,
"mince, farce",B1,en,farse,X,[fa`rsə],Latin via French,"hakket eller malt kjøtt eller fisk, spedd med mel, melk, egg og krydder; løssluppent skuespill med situasjonskomikk, forviklinger og lignende; komisk opptrinn; parodi",X,De serverte en saftig farse laget av ferske grønnsaker og krydder.,They served a succulent stuffing made from fresh vegetables and spices.,
"epidemic, contagion",C,ei,farsott,X,,Old Norse: fársótt,smittsom sykdom; epidemi; fenomen som brer seg fort og vidt,X,Influensaviruset utviklet seg raskt til en farsott i hele regionen.,The influenza virus quickly developed into an epidemic across the entire region.,
speed,A2,ei,fart,X,[fart],German: vart,"hastighet noe eller noen beveger seg i; hurtighet; det at noe eller noen er i bevegelse; gang, bevegelse; ferdsel, reise, tur, trafikk; høyt tempo; fres, driv, hast, liv",X,Det er forbudt å åpne dørene under fart.,It is forbidden to open the doors while driving.,
vessel,B2,et,fartøy,X,,German,"større farkost, særlig til bruk på vann",X,Fartøyet var lastet med varer til den andre siden av fjorden.,The ship was loaded with goods for the other side of the fjord.,
speed bump,B2,ei,fartsdump,X,,German,fordypning i veibanen som skal få bilister til å senke farten; jamfør fartsdemper,X,De satte opp en fartsdump i nabolaget for å redusere hastigheten.,They set up a speed bump in the neighborhood to reduce speed.,
speed limit,B2,ei,fartsgrense,X,,German,lovlig maksimal fart (på en vei),X,Du må holde deg innenfor fartsgrensen på denne veien.,You must stay within the speed limit on this road.,
speed bump,B2,en,fartshump,X,,German,forhøyning i veibanen som skal få bilister til å senke farten,X,Bilen bremset ned ved en høy fartshump.,The car slowed down at a high speed bump.,
speed check,B1,en,fartskontroll,X,,,politikontroll av hvilken fart et kjøretøy holder,X,Politiet hadde fartskontroll ved tunnelen i morges.,The police were doing a speed check by the tunnel this morning.,
speed record,B2,en,fartsrekord,X,,,"rekord med hensyn til fart (især med kjøretøy, fartøy); hastighetsrekord",X,Bilen satte ny fartsrekord på banen.,The car set a new speed record on the track.,
waters,B2,et,"farvann, farvatn",X,,Dutch,"sjøvei, lei",X,Farvannet er klart.,The waters are clear.,
"farewell, goodbye",A2,et,farvel,X,,Old Norse,avskjed,X,Hun vinket et siste farvel før hun gikk om bord i flyet.,She waved a final goodbye before boarding the plane.,
facade,B2,en,fasade,X,[fasa:`də],French,ytre fremtoning; utseende,X,Bygningen hadde en imponerende fasade mot gaten.,The building had an impressive facade facing the street.,
pheasant,B2,en,fasan,X,,Greek,"fugl i fasanfamilien, der hannene har lang stjert og praktfulle farger",X,En fasan løp over jordet.,A pheasant ran across the field.,
fascinate,B1,verb,"fascinere, fasinere",X,[fasine:´rə],Latin via French,vekke sterk interesse,X,Boken om verdensrommet fascinerte henne.,The book about space fascinated her.,
fascism,B2,en,fascisme,X,,Latin via Italian,"ekstremt reaksjonært og rasistisk politisk syn, som særlig dyrker staten, eliten og lederen",X,Fascisme har hatt en destruktiv påvirkning på historien.,Fascism has had a destructive impact on history.,
fascist,B2,adjective,fascistisk,X,,Latin via Italian,som gjelder eller er typisk for fascisme,X,Noen av tilhengerne hans holdt fascistiske synspunkter.,Some of his followers held fascist views.,
phase,B1,en,fase,X,,Greek,trinn i en utvikling,X,Prosjektet gikk gjennom flere faser.,The project went through several phases.,
phase,B2,verb,fase,X,,Greek,ta gradvis i bruk eller bort,X,Prosjektet måtte fases ut over tid.,The project had to be phased out over time.,
facet,B2,en,fasett,X,,French,"liten, slipt flate på diamant, glassprisme eller lignende; form som noe fremtrer i; nyanse",X,Diamanten hadde en vakker fasett.,The diamond had a beautiful facet.,
facet,C,verb,fasettere,X,,French,slipe fasetter; gjøre rik på nyanser,X,Smykkesteinen ble fasettert av en ekspert.,The gemstone was faceted by an expert.,
fashion,B1,en,fashion,X,[fæ´ʃ:(ə)n],English,moderne skikk; god tone; mote,X,Det var jo de homofile som styrte både fashion og interiør i verden i dag.,"After all, it was the gays who ruled both fashion and interiors in the world today.",
facile,B2,adjective,fasil,X,[fasi:´l],Latin,"lett å ha med å gjøre, rimelig i sine fordringer; velvillig; elskverdig",X,"Han var en simpel, jevn, godmodig peppersvenn og meget fasil i sin embedsførelse.","He was a simple, even-tempered, good-natured male spinster and very fastidious in his work.",
facilitate,B2,verb,fasilitere,X,[fasilite:´rə],Latin,"legge til rette for (aktivitet, arbeid); gjøre lettere",X,Kvinner påtar seg ofte en fasiliterende rolle i samtalen.,Women often take on a facilitating role in the conversation.,
facility,B2,en,fasilitet,X,[fasilite:´t],Latin,ordninger eller innretninger som letter og gjør det bekvemmelig; rom eller lokaler med nødvendig utstyr,X,Alle hotellets fasiliteter står til hennes fulle disposisjon.,All the hotel's facilities are at her full disposal.,
answer key,B2,en,fasit,X,,Latin,riktig svar på regnestykke; bok eller del av tekst med svar på spørsmål eller oppgaver,X,Hun visste allerede svaret før hun sjekket fasiten.,She already knew the answer before checking the facts.,
right answer,B2,et,fasitsvar,X,,Latin,entydig svar eller løsning,X,Læreren ga henne et klart fasitsvar.,The teacher gave her a clear-cut answer.,
fashionable,B2,adjective,fasjonabel,X,[faʃona:´b(ə)l],English,"fornem, elegant",X,En fattig student inviterte en dame til lunsj på en meget fasjonabel restaurant.,A poor student invited a lady to lunch at a very fashionable restaurant.,
shape,B2,en,fasong,X,[faså´ŋ:],French: façon,"form, snitt",X,Genseren mistet farge og fasong etter vasken.,The sweater lost color and shape after the wash.,
"solid, steady, fixed",A2,adjective,fast,X,,Old Norse: fastr,"som ikke kan flyttes; som holder formen; hard, kompakt",X,Han har en fast jobb som lærer på barneskolen.,He has a permanent job as a primary school teacher.,
"solid property, real estate",B2,expression,fast eiendom,X,,Old Norse,"jord, skog, hus og lignende",X,Familien eier fast eiendom i området.,The family owns real estate in the area.,
solid food,B2,expression,fast føde,X,,Old Norse,mat en må tygge,X,Etter operasjonen måtte han sakte begynne å spise fast føde igjen.,"After the operation, he had to slowly start eating solid food again.",
firm ground under one's feet,B2,expression,fast grunn under føttene,X,,Old Norse,komme på landjorda; være trygg (igjen),X,Han følte at han hadde fast grunn under føttene etter avgjørelsen.,He felt that he had solid ground under his feet after the decision.,
"firm and resolute, sturdy",B2,expression,fast i fisken,X,,Old Norse,"spenstig, stø; som ikke gir etter for press",X,Treneren er fast i fisken og har en streng treningsplan.,The trainer is firm and resolute and has a strict training schedule.,
fixed word order,B2,expression,fast ordstilling,X,,Old Norse,plassering av ledd i en setning etter regler i språket,X,Moderne norsk har relativt fast ordstilling til forskjell fra kasusspråk.,"Modern Norwegian has relatively fixed word order, unlike case languages.",
fixed expression,B2,expression,fast uttrykk,X,,Old Norse,"ord som ofte blir brukt sammen; frase, idiom",X,Å hoppe etter Wirkola har blitt et fast uttrykk.,Jumping after Wirkola has become a regular expression.,
fast,B2,verb,faste,X,,Old Norse: fasta,avholde seg helt eller delvis fra mat og drikke,X,Mange velger å faste av religiøse eller helsemessige årsaker.,Many people choose to fast for religious or health reasons.,
fast,B2,ei,faste,X,,Old Norse: fasta,midlertidig avholdenhet fra mat og drikke eller fra bestemte fødemidler i forbindelse med religiøse ritualer eller av medisinske årsaker,X,Under fasten må man avstå fra mat og drikke.,"During Lent, one must abstain from food and drink.",
fast day,B2,en,fastedag,X,,,dag da en faster,X,Han drikker bare vann på en fastedag.,He drinks only water on a fast day.,
"Shrove Sunday, the last three days before Lent",B2,en,fastelavn,X,,German,de siste tre dagene før langfasten,X,I Norge spiser mange fastelavnsboller til fastelavn.,In Norway many people eat cream buns at Shrovetide.,
"Lenten bun, cream bun",B2,en,fastelavnsbolle,X,,German,"hvetebolle, oftest med krem, som blir bakt til fastelavn",X,Jeg kjøpte en fastelavnsbolle med krem.,I bought a Lenten bun with cream.,
Lenten twigs,C,et,fastelavnsris,X,,German,pyntede riskvister brukt ved fastelavn,X,Barna slo hverandre lett med fastelavnsris.,The children lightly struck each other with Lenten twigs.,
Shrove Sunday,C,en,fastelavnssøndag,X,,German,siste søndag før faste,X,Fastelavnssøndag kommer rett før fastetiden.,Shrove Sunday comes right before Lent.,
Lent,B2,ei,fastetid,X,,,faste,X,I fastetiden spiser han ikke godteri.,During Lent he does not eat candy.,
"ingrained, fixed",C,adjective,fastgrodd,X,,,som har festet seg og vanskelig lar seg fjerne; som ikke endres; uforanderlig,X,Meningene hans er fastgrodde og vanskelige å endre.,His opinions are ingrained and difficult to change.,
"mainland, continent",B1,et,fastland,X,,Old Norse,"stort, sammenhengende landområde; kontinent",X,Folk flyttet fra øyene og inn til fastlandet.,People moved from the islands to the mainland.,
fixed price,B2,en,fastpris,X,,,"fastsatt, avtalt pris som et produkt selges for (overalt og i en viss periode)",X,Vi ble enige om en fastpris for hele prosjektet.,We agreed on a fixed price for the entire project.,
"determined, settled upon",B2,adjective,fastsatt,X,,Old Norse,"bestemt, avgjort",X,Leveransen kom til fastsatt tid.,The delivery arrived on time.,
"determine, settle upon",B2,verb,fastsette,X,,Old Norse,"avgjøre, bestemme",X,De måtte fastsette retningslinjene før prosjektstart.,They had to set the guidelines before the project started.,
determination,B2,en,fastsettelse,X,,Old Norse,det å fastsette; fastsetting,X,De annonserte en offisiell fastsettelse av reglene.,They announced an official setting of the rules.,
"confirm, establish",B2,verb,fastslå,X,,Old Norse,"slå fast, bevise, hevde som sikkert; konstatere, presisere",X,Det er vitenskapelig fastslått.,It is scientifically established.,
platter,A2,et,fat,X,,German via Old Norse: fat,større skål til å servere mat i; tønneformet beholder,X,Han serverte kaken på et stort fat.,He served the cake on a large platter.,
fatal,B2,adjective,fatal,X,,Latin,"som har leie følger; skjebnesvanger, katastrofal",X,Hendelsen fikk en fatal utgang.,The incident had a fatal outcome.,
fatalism,C,en,fatalisme,X,,Latin,filosofisk eller teologisk lære om at alt er forutbestemt; skjebnetro,X,Pessimismen hans var nært knyttet til fatalisme.,His pessimism was closely linked to fatalism.,
fatalist,C,en,fatalist,X,,Latin,tilhenger av fatalisme; person som tror at alt er forutbestemt,X,En fatalist ser på skjebnen som uunngåelig.,A fatalist sees fate as inevitable.,
fatalistic,C,adjective,fatalistisk,X,,Latin,som gjelder fatalisme; som finner seg i skjebnen,X,Hun hadde en fatalistisk holdning til alt som skjedde.,She had a fatalistic attitude to everything that happened.,
"few, small number",B2,et,fåtall,X,,,lite antall; mindretall,X,Bare et fåtall kjenner til dette.,Only a few people know about this.,
catch fire,B2,verb,fate,X,[fa:`tə],German,ta fyr; fenge,X,"Veden var småfuktig, men assistert av avispapir fikk han den til å fate på to forsøk.","The wood was slightly damp, but with the help of newspaper he got it to catch fire in two attempts.",
composure,B2,ei,fatning,X,,German,"herredømme over seg selv; beherskelse, ro",X,Hun beholdt fatningen selv under press.,She kept her composure even under pressure.,
beer on tap,B2,et,fatøl,X,,German,øl som blir oppbevart under trykk i en større beholder som det blir tappet fra gjennom en kran,X,Kaféen serverte iskaldt fatøl.,The café served ice-cold draft beer.,
understand,A2,verb,fatte,X,,German,"gripe, klamre seg til; skjønne, forstå, erkjenne",X,Jeg kan ikke fatte hvorfor de tok den beslutningen.,I can't understand why they made that decision.,
comprehension,B2,ei,fatteevne,X,,German,forstand,X,Det går over min fatteevne.,It's beyond my comprehension.,
understandable,B2,adjective,fattelig,X,,German,forståelig,X,"Det er vanskelig å forstå, men det er helt fattelig.","It's hard to understand, but it's completely understandable.",
father,C,en,fatter,X,,German,far,X,Fatter kom hjem fra jobben tidlig i dag.,Dad came home from work early today.,
poor,A2,adjective,fattig,X,,Old Norse: fátǿkr,"som har lite til livsopphold; som har eller er preget av trang økonomi; arm, nødlidende; dårlig, mangelfull, ussel; med lite innhold; skrinn, karrig; preget av savn; ensom; gledeløs",X,Han manglet to fattige poeng på å vinne.,He lacked two poor points to win.,
poor person,B2,expression,fattig fant,X,,Old Norse,fattig person,X,Han levde som en fattig fant i mange år.,He lived as a poor foundling for many years.,
poverty,B1,en,fattigdom,X,,Old Norse,det å være fattig,X,Fattigdom er et globalt problem.,Poverty is a global problem.,
poorhouse,B2,et,fattighus,X,,Old Norse,(kommunal) bygning hvor økonomisk vanskeligstilte personer bor og får understøttelse (og arbeider); (privat) institusjon som hjelper økonomisk vanskeligstilte personer materielt og sosialt (med utdeling av mat og klær eller tilbud om møtested),X,Mange familier søkte hjelp fra fattighuset.,Many families sought help from the poorhouse.,
poor neighborhood,C,et,fattigkvarter,X,,,"kvarter, bydel med mange fattige",X,De bodde i et fattigkvarter preget av trange kår.,They lived in a poor neighborhood marked by harsh conditions.,
"pauper, poor person",B2,en,fattigper,X,,Old Norse,fattig person,X,"Etter at alle regningene var betalt, satt han igjen som fattigper.","After all the bills were paid, he was left as a pauper.",
poor,B2,adjective,fattigslig,X,,Old Norse,"som er merket av fattigdom; ussel, simpel",X,"De bodde i et gammelt, fattigslig hus.","They lived in an old, poor house.",
poorhouse,B2,et,fattigstell,X,,Old Norse,institusjon for forsørgelse av fattige,X,Fattigstellet hjalp dem som trengte det mest.,The Poor Law helped those who needed it most.,
fatwa,B2,en,fatwa,X,[fa´tva],Arabic,sakkyndig uttalelse fra en islamsk rettslærd om en sak som angår islamsk lov,X,En såkalt fatwa var utstedt fra presteskapet i Iran.,A so-called fatwa was issued by the clergy in Iran.,
"fauna, animal life",B2,en,fauna,X,,Latin,dyreliv i en viss periode eller i et visst strøk,X,Faunaen i området er både variert og rik.,The fauna in the area is both varied and rich.,
animal-related crime,C,en,faunakriminalitet,X,,Latin,"ulovlig jakt og fangst, særlig fangst av fredede dyrearter for salg",X,Faunakriminalitet er en alvorlig trussel mot beskyttede arter.,Wildlife crime is a serious threat to protected species.,
"armful, bundle",B2,en,favn,X,,Old Norse: faðmr,rom mellom utstrakte armer og brystet; gammelt lengdemål (opprinnelig avstanden mellom fingerspissene på to utstrakte armer),X,Fjorden var bred nok til å gi en favn i hver retning.,The fjord was wide enough to provide a channel in each direction.,
encompass,B2,verb,favne,X,,Old Norse: faðma,ta omkring; omfavne; nå langt; dekke et stort spekter,X,Hun ønsket å favne muligheten til å lære noe nytt.,She wanted to embrace the opportunity to learn something new.,
embrace,B2,et,favntak,X,,,omfavnelse; samleie; grep en ikke kommer seg ut av,X,Han tok henne i et varmt favntak.,He held her in a warm embrace.,
"favor, advantage",B2,en,favør,X,,Latin via French,"fordel, gunst",X,Ved pause var stillingen 2–1 i svensk favør.,"At half-time, the score was 2-1 in Sweden's favor.",
favor,B2,verb,favorisere,X,,Latin,gi særlige fordeler; foretrekke,X,Ordningen favoriserer folk med høye inntekter.,The scheme favors people with high incomes.,
favorite,A2,en,favoritt,X,,Latin via French,noe eller noen som er best likt; sannsynlig vinner,X,Hunden hennes er familiens favoritt.,Her dog is the family's favorite.,
"cattle, livestock",B2,et,fe,X,,Old Norse: fé,"husdyr, krøtter",X,Bonden hadde stort ansvar for alt fe på gården.,The farmer had great responsibility for all the cattle on the farm.,
fairy,A2,en,fe,X,[fe:],Italian,kvinnelig eventyrskikkelse,X,Eventyret handlet om en god fe som hjalp folk i nød.,The fairy tale was about a fairy who helped people in need.,
feature,B2,en,feature,X,[fi:´tʃər],English: feature,"bredt anlagt, opplysende og utdypende artikkel (eller program i radio eller TV), ofte i en mer subjektiv stil; bakgrunnsartikkel; viktigste, mest fremtredende nummer i kinoprogram",X,Bergens Tidende skulle lage en feature om livet i Nordsjøen.,Bergens Tidende wanted to make a feature about life in the North Sea.,
fever,A2,en,feber,X,,Latin,sykdomstilstand med høy kroppstemperatur,X,Han har hatt høy feber de siste to dagene.,He has had a high fever for the past two days.,
fever dream,B2,en,feberfantasi,X,,Latin,fantasi som skyldes (høy) feber,X,Han mumlet om en merkelig feberfantasi under sykdommen.,He muttered about a strange feverish fantasy during his illness.,
fever-reducing,B2,adjective,feberstillende,X,,Latin,som senker feberen,X,Hun tok et feberstillende middel for å senke temperaturen.,She took an antipyretic to lower her temperature.,
feverish,B2,adjective,"febersyk, febersjuk",X,,Latin,syk med feber,X,Barnet var febersykt og lå hjemme fra skolen.,The child had a fever and was home from school.,
"feverish, febrile",B2,adjective,febril,X,,Latin,med feber,X,Han følte seg febril på grunn av sykdommen.,He felt feverish because of the illness.,
frantic,B2,adjective,febrilsk,X,,Latin,"hektisk, oppjaget",X,Hun lette febrilsk etter nøklene sine.,She was frantically looking for her keys.,
February,A1,en,februar,X,[februa:´r],Latin,årets andre måned,X,Februar er ofte den kaldeste måneden i året.,February is often the coldest month of the year.,
"skein, clove",B1,et,fedd,X,,,bunt av garn eller tråd; båt av en hvitløk,X,Hun hakket ett fedd hvitløk og hadde det i gryta.,She chopped one clove of garlic and added it to the stew.,
obesity,B2,en,fedme,X,[fe`dmə],Old Norse,det å være (sykelig) fet; overvekt,X,Fedme kan føre til alvorlige helseproblemer.,Obesity can lead to serious health problems.,
fatherland,B2,et,fedreland,X,,Old Norse,"ens eget land; fødeland, hjemland",X,De feiret fedrelandets nasjonaldag sammen.,They celebrated their country's national day together.,
patriotism,B2,ei,fedrelandskjærlighet,X,,Old Norse,kjærlighet til fedrelandet,X,Hun følte sterk fedrelandskjærlighet da hun så flagget.,She felt a strong love of country when she saw the flag.,
national anthem,B2,en,fedrelandssang,X,,Old Norse,sang som priser fedrelandet (og som er valgt til å være nasjonalsang),X,De sang en gammel fedrelandssang under paraden.,They sang an old country song during the parade.,
patriotism,B2,et,fedrelandssinn,X,,Old Norse,"sinn, sinnelag preget av fedrelandskjærlighet",X,Hans sterke fedrelandssinn inspirerte mange andre.,His strong patriotism inspired many others.,
patriotic,B2,adjective,fedrelandssinnet,X,,Old Norse,vennlig innstilt overfor fedrelandet,X,Han viste seg som en fedrelandssinnet patriot.,He showed himself to be a patriot with a sense of country.,
patriot,B2,en,fedrelandsvenn,X,,Old Norse,person som er villig til å ofre (mye) for fedrelandet,X,Hun var en sann fedrelandsvenn og støttet nasjonen.,She was a true friend of the fatherland and supported the nation.,
cattle farming,B2,ei,fedrift,X,,,oppdrett og avl av fe; husdyrhold; husdyrflokk som blir drevet av sted,X,Fedrift er en viktig næring i mange landbruksområder.,Cattle farming is an important industry in many agricultural areas.,
feed,B1,en,feed,X,[fi:d],English,"organisert strøm av informasjon (fra nettside, applikasjon)",X,En morgen dukker en BBC-video opp i feeden min.,"One morning, a BBC video pops up in my feed.",
feedback,B2,en,feedback,X,[fi:´dbæk],English,tilbakemelding; det at en mikrofon fanger opp signal fra høyttalere som mikrofonens eget signal sendes ut i,X,"De vrir opp volumet til det piper i mikken, og det gir masse feedback.","They turn up the volume until it beeps in the mic, and that gives a lot of feedback.",
sweep,B1,verb,feie,X,[fæi`ə],German via Old Norse: fægja,"sope, rengjøre med kost eller lignende; drive, jage",X,De måtte feie gulvet etter festen.,They had to sweep the floor after the party.,
cowardly,B1,adjective,feig,X,[fæig],German via Old Norse: feigr,lite modig,X,Jeg synes det er feigt å peke med våpen mot uskyldige.,I think it's cowardly to point guns at innocent people.,
cowardice,B2,ei,feighet,X,,German via Old Norse,det å være feig,X,Avgjørelsen vitner om feighet.,The decision shows cowardice.,
coward,B2,en,feiging,X,,German via Old Norse,feig person; reddhare,X,Han ble sett på som en feiging fordi han trakk seg fra utfordringen.,He was seen as a coward because he backed down from the challenge.,
mistake,A1,en,feil,X,[fæil],French via German,noe som er ufullkomment eller i uorden,X,"Jeg gjorde en liten feil på prøven, men det gikk bra.","I made a small mistake on the test, but it went well.",
wrong,A1,adjective,feil,X,[fæil],French via German,som ikke er riktig,X,Jeg tror du har skrevet svaret feil her.,I think you've typed the answer wrong here.,
erroneous,B2,adjective,feilaktig,X,,French via German,"gal, falsk",X,Rapporten inneholdt noen feilaktige opplysninger som måtte rettes opp.,The report contained some erroneous information that had to be corrected.,
fallible,B2,adjective,feilbar,X,,French via German,"som kan feile, ta feil",X,Mennesker er feilbare og kan gjøre feil.,Humans are fallible and can make mistakes.,
miscalculate,B2,verb,feilberegne,X,,French via German,beregne feil,X,De klarte å feilberegne kostnadene for prosjektet.,They managed to miscalculate the cost of the project.,
make a mistake,B1,verb,feile,X,,French via German,ta feil; mislykkes,X,"Noen ganger kan man feile, og det er greit.","Sometimes you can fail, and that's okay.",
"flawless, faultless",B1,adjective,feilfri,X,,,uten feil,X,"Ingen er feilfri, men vi må gjøre vårt beste.","No one is flawless, but we must do our best.",
margin of error,B2,ei,feilgrense,X,,French via German,(grense for) feilmargin,X,Målingen har en feilgrense på noen få prosent.,The measurement has a margin of error of a few percent.,
mistake,B2,et,feilgrep,X,,,"uheldig, gal handling",X,Det var et feilgrep.,It was a mistake.,
misinformation,B2,en,feilinformasjon,X,,,villedende eller ukorrekt informasjon,X,Feilinformasjon spredte seg raskt på sosiale medier.,Misinformation spread quickly on social media.,
margin of error,B2,en,feilmargin,X,,French via German,største sannsynlige eller tillatte avvik fra det rette,X,Det er en liten feilmargin i resultatene.,There is a small margin of error in the results.,
error message,B2,ei,feilmelding,X,,French via German,melding om (teknisk) feil,X,Maskinen ga en feilmelding da den ikke fungerte riktig.,The machine gave an error message when it was not working properly.,
"failed, unsuccessful",B2,adjective,feilslått,X,,,uoppfylt; mislykket,X,Planen viste seg å være helt feilslått.,The plan turned out to be completely unsuccessful.,
mistake,B2,et,feiltak,X,,French via German,feiltakelse,X,Å stole på ryktet alene var et stort feiltak.,Relying on rumor alone was a big mistake.,
mistake,B2,en,feiltakelse,X,,French via German,"forveksling, misforståelse, mistak",X,Det må bero på en feiltakelse.,It must be a mistake.,
misinterpret,B2,verb,feiltolke,X,,French via German,"tolke feil, galt; mistolke",X,Budskapet har blitt forvrengt og feiltolket.,The message has been distorted and misinterpreted.,
misinterpretation,B2,ei,feiltolkning,X,,,feilaktig tolkning,X,Dommeren påpekte en grov feiltolkning av loven.,The judge pointed out a gross misinterpretation of the law.,
misstep,B2,et,feiltrinn,X,,,"uheldig trinn, for eksempel i dans; uriktig handling",X,Han gjorde et feiltrinn som kostet ham dyrt.,He made a misstep that cost him dearly.,
"connoisseur, gourmet",C,en,feinschmecker,X,[fai´nʃmekər],German,"kresen kjenner av noe, særlig av mat og vin",X,Han er kjent som en ekte feinschmecker når det gjelder mat.,He is known as a true connoisseur when it comes to food.,
celebrate,A2,verb,feire,X,,Latin via German,"holde fest for; høytideligholde; hylle, fetere",X,Vi skal feire bursdagen hans med en stor fest.,We will celebrate his birthday with a big party.,
celebration,A2,ei,feiring,X,,Latin via German,det å feire,X,Julen er en stor feiring i Norge.,Christmas is a big celebration in Norway.,
fence,B1,verb,fekte,X,,German,"kjempe med hogg- eller stikkvåpen, særlig som sport",X,De lærte å fekte i idrettstimen.,They learned how to fence in gym class.,
fencing,B1,ei,fekting,X,,German,"det å fekte, veive",X,Fekting er en spennende sport.,Fencing is an exciting sport.,
rim,B1,en,felg,X,,German,hjul som slange og dekk er festet på,X,Felgen på sykkelen var bøyd etter ulykken.,The rim of the bicycle was bent after the accident.,
fellatio,C,en,fellatio,X,[fela:´tsio],Latin,stimulering av penis med munnen under seksuelt samvær,X,Ordet fellatio er brukt i medisinske beskrivelser.,The word fellatio is used in medical descriptions.,
"partner, companion",B2,en,felle,X,[fe`l:ə],Old Norse: félagi,"person som en har eller gjør noe sammen med; person som man arbeider eller foretar seg noe sammen med, som man har noe til felles med; kollega; venn; kamerat",X,Han så på kollegaen sin som en trofast felle i arbeidet.,He saw his colleague as a faithful partner in his work.,
cut down,B2,verb,felle,X,[fe`l:ə],Old Norse: fella,"få til å falle; drepe; få til å gå av; styrte; bevise skyld; avsi, kunngjøre; la falle, miste; minske ved å strikke to masker sammen til én; føye, tilpasse",X,Jeg måtte felle et tre for å få mer lys i hagen.,I had to cut down a tree to get more light in the garden.,
trap,B2,ei,felle,X,[fe`l:ə],Old Norse: fella,fangstredskap med innretning som faller ned og stenger dyret inne eller holder det fast; innretning som kan være til hindring for eller gjøre skade på mennesker; noe som det er knyttet risiko eller fare til,X,Reven gikk rett i fellen som jeg hadde satt ut.,The fox walked right into the trap that I had set.,
cut off,B2,expression,felle av,X,,Old Norse,avslutte et strikketøy,X,Om høsten begynner trærne å felle av bladene sine.,"In the fall, the trees begin to shed their leaves.",
cut out,B2,expression,felle ut,X,,Old Norse,skille ut; dra ut,X,Oppløsningen i væsken ble felt ut.,The solution in the liquid was precipitated.,
"common, shared",A2,adjective,felles,X,,Old Norse,"gjensidig, som en har sammen",X,Vi har en felles interesse i musikk.,We have a common interest in music.,
generic term,B2,en,fellesbetegnelse,X,,,"betegnelse som omfatter, gjelder for to eller flere gjenstander eller begreper; samnavn",X,Nomen er en fellesbetegnelse for substantiv og adjektiv.,Noun is a generic term for nouns and adjectives.,
common property,B2,et,felleseie,X,,,"formue i et ekteskap eller registrert partnerskap som ikke er gjort til særeie, formuesfellesskap; det at noen eier, disponerer, har rett til noe sammen med andre; noe (åndelig) man eier, har råderett over i fellesskap med andre",X,Eddakvadene er Norges og Islands felleseie.,Eddakvadene is the common property of Norway and Iceland.,
communal barn,C,en-et,fellesfjøs,X,,,felles fjøs for dyra til flere husdyreiere,X,De bygde et stort fellesfjøs for alle gårdene i dalen.,They built a large communal barn for all the farms in the valley.,
"common noun, collective noun",B2,et,fellesnavn,X,,Old Norse,navn som er felles for to eller flere gjenstander eller begreper,X,Fisk er et fellesnavn for mange typer fisk.,Fish is a common name for many types of fish.,
