engelsk,CEFR,gender,ord,uttale,etymologi,definisjon,eksempel
debilitate,B2,verb,avkrefte,,German,"svekke; avsanne, dementere, tilbakevise",Han var blek og avkreftet etter anstrengelsen.
"decriminalize, decriminalise",C,verb,avkriminalisere,,,ikke la bli rammet av straffeloven,
"breeding, harvest",B2,en,avl ,[avl],Old Norse: afl,målbevisst arbeid for å få frem avkom med de rette egenskapene; dyrking,Avl av hunder krever ansvarlighet og kunnskap for å sikre sunne og friske valper.
"oval, oblong",B1,adjective,avlang,,Latin via Old Norse: aflangr,mer lang enn bred,Det avlange bordet passet perfekt inn i det smale rommet.
"beget, raise, grow",B2,verb,avle,,Old Norse: afla,"dyrke, produsere, høste inn; gi liv til, få avkom; være opphav, årsak til",Landet har avlet mange store kvinner og menn. Vold avler vold. Penger avler misunnelse og hat.
derive,B2,verb,"avlede, avleie",,German,"lede bort; danne som resultat (av), med utgangspunkt (i), slutte seg til (av noe annet); lage ord av andre ord ved hjelp av forstavelser, endelser og/eller lydendringer",
derivative,B2,ei,"avledning, avleiing",,German,"det å lede bort, avlede; det å lage ord av andre ord ved hjelp av forstavelse, endelse og/eller lydendring; avledet ord",
outdated,B2,adjective,avleggs,,,som ikke lenger er i bruk; gammeldags,
deposit,C,verb,avleire,,German,avsette i lag,Elva avleirer sand.
sediment,C,ei,avleiring,,German,det å avleire; noe som er et resultat av avleiring,Tangen har vokst de siste årene på grunn av avleiring.
"read out, scan",B2,verb,avlese,,German,lese av,
crop,B2,ei,avling,,Old Norse,mengde av høstet produkt,Flere år på rad hadde frosten tatt avlingen.
kill,B2,verb,avlive,,German,ta livet av; drepe; sette en stopper for; avkrefte,Det er vanskelig å avlive et slikt rykte.
drain,B1,et,avløp,,German,"mulighet for væske og annet til å renne unna; utløp; sted (åpning, grøft) der for eksempel væske renner ut",Avløpet i vasken er tett.
sewage system,B2,et,avløpssystem,,,system av rør som leder vekk avløpsvann,Boligen må ha vannforsyning og avløpssystem.
"wastewater, sewage",B2,et,"avløpsvann, avløpsvatn",,German,(ofte forurenset) vann som blir ledet bort fra et sted; spillvann,
avocado,A1,en,avokado,[avoka:´do],Nahuatl via Spanish via English,"grønn, pæreformet frukt av avokadotreet",Jeg lagde en salat med avokado og tomater.
departure,A2,ei,avreise,,German,det å begynne en reise; det å reise av sted,Avreisen er planlagt til klokken åtte i morgen tidlig.
run-off,B2,ei,avrenning,,German,vann eller annen væske som renner fra et område og ut i vassdrag,
"execute, straighten",B2,verb,avrette,,German,avlive (en dødsdømt); henrette; gjøre rett; rette av,
"execution, straightening",B2,ei,avretting,,German,"det å avrette, henrette; det å gjøre noe rettere",
round off,B2,verb,avrunde,,German,"gi runde, jevne former; runde av; gjøre om (øke eller redusere) et tall slik at det for eksempel blir lettere å regne med; avslutte",Beløpet avrundes nedover til nærmeste hele hundre.
"deny, disprove",C,verb,avsanne,,German,si at et utsagn er usant; dementere,Meldingen blir verken bekreftet eller avsannet.
"sale, deposit",B2,ei,avsetning,,German,det å sette til side midler; det å avsette penger,
"remove, fire",B2,verb,avsette,,German,"gi avskjed (fra et embete, en stilling, et verv)",Det var ikke noe problem å avsette varene.
abolish,B2,verb,avskaffe,,German,sette ut av kraft; kvitte seg med; oppheve,Myndighetene planlegger å avskaffe den gamle loven.
abolition,B2,en,avskaffelse,,German,det å avskaffe; oppheving; avskaffing,Debatten om avskaffelsen av monarkiet pågår fortsatt.
abolition,B2,ei,avskaffing,,German,det å avskaffe; oppheving; avskaffelse,Avskaffingen av tolavgiften ble godt mottatt av mange.
"dismissal, parting, farewell",B1,en,avskjed,[a:`vʃed],German,det å skilles eller ta farvel; det å slutte i eller bli avsatt fra et embete eller en stilling,De reiste uten å ta avskjed. De tok ømt avskjed med hverandre.
dismissal in grace,C,expression,avskjed i nåde,,German,"avgang etter oppnådd aldersgrense eller etter søknad",
"a cold farewell, dismissal on gray paper",B2,expression,"avskjed på grått papir",,German,"plutselig oppsigelse",
"dismiss, fire",B2,verb,avskjedige,,German,"gi avskjed, si opp",På grunn av alvorlig økonomisk nedgang ble bedriften tvunget til å avskjedige flere ansatte.
transcript,B2,ei,avskrift,,German,skrevet kopi,
disgust,B2,en,avsky,,German,sterk motvilje eller forakt,Nyhetene om dyremishandlingen fylte henne med avsky.
detest,B2,verb,avsky,,German,ha sterk motvilje mot,
disgusting,B2,adjective,avskyelig,,German,"som vekker avsky, motbydelig, frastøtende",
"reject, refuse",B2,verb,avslå,,German,si nei til,"Han avslo høflig, men bestemt."
"rejection, refusal, discount",B2,et,avslag,,German,"(det å si) nei til en søknad, en bønn eller lignende",Jeg fikk avslag på søknaden min.
"reveal, expose",B1,verb,avsløre,,German,gjøre klart og tydelig for alle; avdekke; avduke,Politiet avslørte forbryteren.
revealing,B2,adjective,avslørende,,German,"som gjør noe klart og tydelig for alle",
conclusion,A2,ei,avslutning,,German,"det å avslutte noe; slutt, konklusjon; markering av at noe er avsluttet",Hopperen hadde problemer med avslutningen. Stilen mangler avslutning. Det ble en trist avslutning på en lovende karriere.
in conclusion,B2,adverb,avslutningsvis ,,German,til avslutning,Avslutningsvis vil jeg nevne et siste poeng.
conclude,A2,verb,avslutte,,German,gjøre helt ferdig; fullføre; gjøre opp,Arbeidet blir avsluttet for dagen.
paragraph,B1,et,avsnitt,,German,hver av de delene som noe er inndelt i; bolk; administrativ avdeling i for eksempel politiet,Du bør ha flere avsnitt i stilen din.
"reflect, mirror",B2,verb,avspeile,,German,gi et bilde av,Tallene avspeilte den økonomiske situasjonen.
"refrain, abstain, cede",B2,verb,avstå,,German,"gi avkall på; slutte med; avhende, overlate",Hun har avstått fra sigaretter siden nyttår. Norge måtte avstå flere landområder til Sverige.
descent,B2,ei,avstamning ,,German,"opphav; herkomst; rekkefølgen av forfedre fra hvem en person, dyreart eller planteart nedstammer",Hun var svært interessert i sin avstamning og brukte mye tid på å forske på slektshistorien sin.
distance,A2,en,"avstand",,German,distanse; mellomrom; mengden plass mellom to punkter eller objekter i rommet,Avstanden mellom hjulene er to meter. Avstanden til gjerdet er fire meter.
"referendum, vote",B1,ei,avstemning,,German,det å stemme; votering,Avstemningen om den nye loven ble utsatt til neste uke på grunn av tekniske problemer.
"make numb, blunt, dampen",C,verb,avstumpe,,German,"gjøre sløv, ufølsom",
"numb, blunted, dampened",B2,adjective,avstumpet,,German,sløv; følelsesløs,
"taper off, decrease",B1,verb,avta,,German,"bli mindre, svakere",Kreftene avtar med alderen. Støyen avtok etter hvert.
"agreement, appointment, contract, deal",A2,en,avtale,,German,"gjensidig løfte, enighet om noe",Dette er en juridisk bindende avtale og kan ikke brytes.
"agree upon, arrange",A2,verb,avtale,,German,"bli enige om (på forhånd)",Vi må avtale tid og sted.
"print, fingerprint",B2,et,avtrykk,,German,"merke som kommer frem når noe blir trykt inn i et mykere stoff; spor en etterlater seg; merke etter aktivitet; trykt gjengivelse av noe; reproduksjon, opptrykk",Partiet har satt sitt avtrykk i statsbudsjettet.
disarm,B2,verb,avvæpne,,German,"ta våpenet eller våpnene fra",Flykapreren ble avvæpnet.
astray,B2,en,"avvei, avveg",,German,vei som fører bort fra hovedveien eller den rette veien,Saueflokken kan komme på avveier.
trade-off,B2,ei,"avveining, avveging, avvegning, avveiing",,,det å veie ulike alternativer opp mot hverandre; det å vurdere nøye,
fend off,B2,verb,avverge,,German,hindre noe farlig eller truende i å inntreffe,Katastrofen kunne vært avverget.
deviation,B2,et,avvik ,,German,"det å vike av (fra en viss retning eller norm); forandring; så mye som noe avviker fra noe; det å skille seg ut fra, være forskjellig fra (det vanlige); ulikhet",Det er ofte avvik i meninger mellom foreldre og barn.
deviate,B2,verb,avvike,,German,vike av; endre retning eller gå vekk fra noe; ikke stemme overens,De to forklaringene avvek sterkt fra hverandre.
deviant,B2,adjective,avvikende ,,German,som avviker; uregelmessig; forskjellig,
"reject, turn down",B1,verb,avvise ,,German,nekte adgang,Han valgte å avvise tilbudet de kom med.
rejection,B1,ei,"avvising, avvisning",,German,"det å avvise eller bli avvist","Avvisningen gjorde henne trist, men hun ga ikke opp."
ayatollah ,B2,en,ayatolla,[aiatå´l:a],Arabic via Persian,hederstittel for høyere rettslærd innenfor sjiaislam; steil (og uforsonlig) lederskikkelse,Jeg måtte klype meg selv i armen da jeg oppdaget hvordan jeg satt og beundret disse ayatollaenes fremtoning.
baby,A1,en,baby,"[bæi´bi], [be:´bi]",English,spedbarn; spedbarn eller en svært ung menneskelig eller dyr avkom,"De fikk en baby i sommer, og familien er veldig glad."
baby corn,A2,en,babymais,,English,variant av mais som høstes tidlig og derfor har mild smak og myk kjerne,"Babymais er en populær ingrediens i wokretter, salater og andre asiatiske retter."
"bachelor, bachelor's degree",B1,en,bachelor,[bæ´tʃ(ə)lər],English,bachelorgrad,Han har en bachelor i informatikk.
bachelor's degree,B2,en,bachelorgrad,,English,lavere akademisk grad ved universiteter og høyskoler,Hun fikk sin bachelorgrad i informatikk fra Universitetet i Oslo.
backpacker,B1,en,backpacker,[bæ´kpækər],English,"turist som reiser med bagasjen i ryggsekk, ofte i flere måneder; ryggsekkturist",Han dro på en backpacker-tur gjennom Sør-Amerika i tre måneder.
backup,B1,en,backup,[bæ´k:øp],English,oppbakking; assistanse; reserve; vikar; kopi av digitale program og filer; sikkerhetskopi,Det er viktig å ta en backup av alle filene dine regelmessig.
bacon,A1,et,bacon,[bei:´kən],German via Latin via French via English,"røykt, lettsaltet sideflesk",Han stekte bacon til frokost i dag tidlig.
bathroom,A1,et,bad,,Old Norse: bað,"baderom",Huset vårt har et stort bad med badekar.
bathe,A1,verb,bade,[ba:`də],Old Norse,ta seg et bad,Barna elsker å bade i sjøen om sommeren.
both,A2,conjunction,både,,Old Norse: bæði,brukt for å uttrykke at utsagnet gjelder begge leddene som de to konjunksjonene binder sammen,Jeg både lo og gråt.
swim trunks,A2,ei,badebukse,,Old Norse,kort bukse til å bade i,Han tok på seg badebuksa før han gikk ut i vannet.
bathhouse,A2,et,badehus,,,hus ved (bade)strand til å skifte i,De har bygget et nytt badehus ved stranden.
bathroom,A2,et,"baderom",,Old Norse,"rom i husvære der en vasker seg, inneholder som regel dusj eller badekar, vask, speil og klosett",Baderommet er nymalt og ser veldig fint ut.
berry,A1,et,bær,[bæ:r],Old Norse: ber,saftig frukt av forskjellige planter,Vi plukket mange bær i skogen i går.
portable,B1,adjective,bærbar,,Old Norse,"som er så liten og lett at den kan bæres",Den bærbare datamaskinen min er lett å ta med seg på jobb.
"carry, bear",A2,verb,bære,[bæ:`rə],Old Norse: bera,holde noe oppe (og bevege seg fremover med det),Bøndene bar kulturen i bygdene.
bear fruit,B2,expression,"bære frukt",,Old Norse,gi resultater,
"uphold, sustain",B2,expression,bære oppe,,Old Norse,holde ved like; være bærende kraft i noe,
complain,B2,expression,bære seg,,Old Norse,klage; lønne seg,
behave,B2,expression,bære seg at,,Old Norse,"te seg",
"support beam, underpinning",B2,en,bærebjelke,,Old Norse,"bjelke som bærer, holder oppe andre konstruksjonsdeler; viktig del av organisasjon, firma og lignende",Likestillingstanken er bærebjelken i foreningens arbeid.
carrying capacity,B2,ei,bæreevne ,,Old Norse,"evne til å bære en viss tyngde",
sustainability,B2,ei,bærekraft,,,"kraft, evne til å bære eller tåle vekten av noe; øvre grense for bruk av ressurser (uten å utarme disse)",
sustainable,B2,adjective,bærekraftig,,,som bærer seg økonomisk; lønnsom; som har bærekraft,Planen er å skape bærekraftige enheter i landbruket.
supporting,B1,adjective,bærende,,,grunnleggende; avgjørende,Søylene er bærende for hele bygningen.
shopping bag,A2,en,bærepose,,Old Norse,"pose av papir eller plast med håndtak",Hun bar matvarene i en stor bærepose.
poop,A2,en,bæsj,,,"avføring, ekskrement, lort",Du er den største bæsjen jeg noen gang har møtt.
poop,A2,verb,bæsje,,,"ha avføring",Katten gikk ut for å bæsje i hagen.
bag,A2,en,"bag, bagg",[bæg:],Old Norse via English,"(stor og avlang) veske med reimer, ofte brukt som reiseveske for lettere bagasje",Jeg pakket alle tingene mine i en stor bag.
baggage,A2,en,bagasje,,French,"reisegods, opp-pakning; gruppe livserfaringer, opplevelser, kvalifikasjoner eller lignende som preger en; bagasjerommet på en bil",Jeg la sekken i bagasjen.
baggage belt,A2,et,bagasjebånd,,French,samlebånd for bagasje på flyplass eller lignende,Etter en lang flytur ventet de spent på bagasjebåndet for å få koffertene sine.
baggage compartment,A2,ei,bagasjehylle,,French,"hylle til håndbagasje over sitteplassene i tog, buss eller lignende",Jeg la kofferten på bagasjehylla i toget.
baggage net,B1,et,bagasjenett,,French,bagasjehylle med nettbunn,Jeg bruker et bagasjenett for å holde tingene på plass i bilen.
baggage room,A2,et,bagasjerom,,French,"rom i bil til bagasje, oftest plassert helt bak",Vi fikk plass til alle koffertene i bagasjerommet.
"something trivial, trifle",B2,en,bagatell,[bagatelˊl],French,"noe ubetydelig, uvesentlig; småting",Han lar seg ikke anfekte av slike bagateller.
"trivialize, downplay",B2,verb,bagatellisere,[bagatelise:´rə],French,"gjøre til, fremstille som en bagatell; gjøre uviktig; redusere (omfanget, betydninga av)",Man bør ikke bagatellisere viktigheten av god søvn for helsen vår.
behind,A1,preposition,bak,,Old Norse,"på motsatt side av; bakenfor, etter",Bilen sto parkert bak huset.
"behind, bottom",A1,en,bak ,,Old Norse,"kroppsdel på baksiden mellom rygg og (bak)bein på menneske eller dyr; bakende, rumpe; bakerste ende av noe; bakside",Hun satte seg forsiktig ned på bakenden etter fallet.
back door,A2,ei,bakdør ,,Old Norse,"dør på baksiden av et hus eller rom",Tyvene brøt seg inn gjennom bakdøren og stjal verdisaker fra huset.
bake,A1,verb,bake,,Old Norse,"lage brød og kaker av deig ved steking i ovn; tilberede på jevn og sterk varme, for eksempel i ovn eller i folie på grill; varme opp","Jeg elsker å bake brød, spesielt når hele huset fylles med den gode duften av nybakt brød."
baking paper,A2,et,bakepapir ,,Old Norse,spesielt papir som brukes ved steking av bakverk for å unngå at det setter seg fast i plata,Husket du å kjøpe bakepapir til kakebakingen i ettermiddag?
baker ,A1,en,baker ,,Old Norse: bakari,"person som har som yrke å bake",Bakeren lager de beste rundstykkene i byen.
bakery,A2,en,bakerbutikk,,Old Norse,"butikk som selger bakervarer",Vi gikk innom bakerbutikken og kjøpte ferskt brød.
bakery,A1,et,bakeri,,Old Norse,bedrift som lager og selger bakervarer,Det lille bakeriet på hjørnet har de ferskeste rundstykkene og de deiligste kanelbollene i byen.
baked good,A2,ei,"bakevare, bakervare",,Old Norse,bakverk som er til salgs i en bakerbutikk,De selger mange ulike bakevarer på markedet.
hungover,B2,adjective,bakfull,,,som er i bakrus,
background,B1,en,bakgrunn,,German,bakerste del av en scene,Hun har en sterk akademisk bakgrunn som hjalp henne i karrieren.
rear wheel,B1,et,bakhjul ,,Old Norse,bakre hjul på farkost med minst to hjul,
back of one's mind,B2,et,bakhode,,Old Norse,bakerste del av hodet; baksiden av hodet eller den occipitale delen av skallen,Det er noen punkter vi må ha i bakhodet.
ambush,B2,et,bakhold,,Old Norse,"det å holde seg bak noen; stilling som gjør det mulig å angripe, overfalle en motstander overraskende (bakfra); bakholdsangrep",Soldatene planla et bakhold for å overraske fiendens styrker i den tette skogen.
ambush attack,B2,et,"bakholdsangrep",,Old Norse,angrep (bakfra) som kommer overraskende på motstanderen,Soldatene ble utsatt for et bakholdsangrep i jungelen.
back,B2,verb,bakke ,,English,slå bakk; gå bakover; rygge; støtte; kompe,Han måtte bakke bilen opp på åsen.
"hill, slope, ground",A2,en,bakke ,,Old Norse: bakki,"terrengskråning, særlig om side av en ås; mark, jord; rygg på forskjellige redskap",Vi løp ned bakken til skolen.
ground level,B2,et,bakkenivå ,,Old Norse,"nivå, høyde med bakken",Inngangen til den nye T-banestasjonen ligger under bakkenivå.
hilly,B2,adjective,"bakkete, bakket",,Old Norse,full av bakker,
behind,B2,en,bakkropp,,Old Norse,"bakre del av kroppen på dyr, fly og lignende",
"trunk, tailgate",B1,ei,bakluke,,Old Norse,"dør, luke til bagasjerom bak på bil",
backward,A2,adverb,bakover,,Old Norse,"tilbake; i den retningen en har ryggen, med ryggen først; tilbake i retning vekk fra nåtiden",Setet kan legges bakover.
"backward-looking, passive",B2,adjective,bakoverlent,,Old Norse,som lener seg bakover; avslappet; ubekymret,De som har en bakoverlent holdning taper markedsandeler.
hangover,B2,en,bakrus,,,ettervirkning av en rus,
setback,B1,et,bakslag ,,Old Norse,"det at omdreiningen brått slår over i motsatt retning, særlig på grunn av for tidlig tenning; rekyl; negativ utvikling; tilbakeslag","Selv om prosjektet fikk et lite bakslag i starten, klarte teamet å fullføre det til avtalt tid."
slander,B1,verb,baksnakke,,,snakke nedsettende om noen som ikke er til stede; baktale,
slander,B2,verb,baktale,,,tale nedsettende om en som ikke er til stede; baksnakke,
backdrop,B2,et,bakteppe,,Old Norse,"teppe som utgjør bakgrunnen, særlig på en scene; noe som er utgangspunkt eller innramming for en forståelse, oppfatning eller lignende; kontekst, bakgrunn",
bacterium,A2,en,bakterie,,Greek via Latin,"mikroskopisk, av og til sykdomsfremkallende, ofte encellet organisme","Bakterier er mikroskopiske organismer som finnes overalt, både i kroppen vår og i miljøet rundt oss."
slander,C,verb,bakvaske,,German,"baktale, sverte",
baked good,A2,et,bakverk,,Old Norse,noe som er bakt; kake,Hun serverte deilig bakverk til kaffen.
bonfire,A1,et,bål,,Old Norse: bál,"haug av ved, kvister og annet som skal brennes eller brenner",Vi tente et stort bål på stranden.
balance,A1,en,balanse,,Latin,vektstang(system) til å holde noe i likevekt; det at to eller flere aspekter er passelig tilpasset hverandre,Det er viktig å ha god balanse når man sykler.
"balancing act, balance",B2,en,balansegang,,,"det å gå og balansere bortover en bom eller lignende; forening, prioritering av ulike (motstridende) hensyn",
balance,A1,verb,balansere,,Latin,"holde, være i likevekt",Hun prøvde å balansere boken på hodet sitt.
balcony,A2,en,balkong,,French,"utbygg på yttervegg på hus (over første etasje) som bæres av bjelke eller konsoll; galleri i kinosal, teatersal og lignende",De har en fantastisk utsikt fra balkongen sin.
ball,A1,en,ball,,Old Norse: bǫllr,"(lett) kule av gummi, plast og lignende til å leke eller spille med; slag, pasning, skudd i ballspill",Barna lekte med en rød ball i hagen.
"ball, dance",A1,et,ball,,French,"finere dansetilstelning",Vi skal på et elegant ball på slottet neste uke.
ballad,B1,en,ballade,[bala:`də],,"episk-lyrisk dikt fra middelalderen; folkevise; langsom, rolig melodi til ballade; langsomt, rolig musikkstykke eller moderne vise innen pop, rock eller lignende",
"pouch, ball",B1,ei,balle,,,testikkelpung; (rund) kjøttfull legemsdel; ball,Hesten spiste høy fra en stor balle.
bale,B2,en,balle,,,større kolli av lett vare (for eksempel høy eller ull) som er sammenpresset og surret med (metall)tråd eller emballert i strie eller lignende; (eldre) målenhet for papir og tekstiler,
ball up,B2,verb,balle,,,klemme noe (sammen) i en ball; pakke noe rundt noe annet; tulle (inn),
"the belle of the ball, the queen of the ball",B1,expression,ballets dronning,,French,kvinne som får mest oppmerksomhet på et ball,
ballet,B2,en,ballett,[bale´t:],,"kunstform der en uttrykker handling og følelser uten ord gjennom dans til musikk",
ballistics,C,en,ballistikk,,,"lære om bevegelsen til et prosjektil",Eksperter på ballistikk undersøker kulehullene i veggen.
ballistic,C,adjective,ballistisk,,,som gjelder ballistikk,
balloon,A2,en,ballong,[balå´ŋ:],,"hylster, pose (av gummi, plast eller lignende) som er fylt med luft eller med gass som er lettere enn luft",Barna lekte med en stor rød ballong.
vote by ballot,C,verb,ballottere,[balåte:´rə],,"foreta hemmelig avstemning, opprinnelig med svarte og hvite kuler, nå med stemmesedler",
ball game,A2,et,ballspill,,,det å spille ball; lek og idrettsgren der en bruker ball,Ballspill på plenen er forbudt.
"conditioner, balm",A2,en,balsam,[ba´lsam],Old Norse: balsamr,middel til å stelle hår eller hud med,Jeg bruker balsam for å gjøre håret mykere.
embalm,B1,verb,balsamere,,Old Norse,behandle et lik med urter eller kjemikalier slik at det ikke råtner,Egypterne balsamerte sine døde.
balsamic vinegar,A2,en,balsamico,[balsa:´miko],Italian,"vineddik lagret på fat, med mørkt brunrød farge og søtsyrlig smak",Vi brukte balsamico i salaten for ekstra smak.
balsamic vinegar,B1,en,balsamicoeddik,,Italian,balsamico,
bamboo,A2,en,bambus ,[ba´mbus],malayisk: bambu,fellesbetegnelse for tropiske planter med grønne blader som vokser tett inntil strå,Pandaen spiser bambus i dyrehagen.
bamboo shoot,B2,et,bambusskudd ,,malayisk,spiselig del av skudd fra bambus,
"bear, teddy bear",A2,en,bamse,,Old Norse: bjǫrn,"opphavlig noaord på (hann)bjørn; stor, kraftig person; teddybjørn",Hun fikk en stor bamse i bursdagsgave.
bear hug,B1,en,bamseklem,,Old Norse,stor og hjertelig klem,
banal,B2,adjective,banal,[bana:´l],French,"dagligdags, forslitt, ordinær",Budskapet er enkelt på grensen til det banale.
banality,B2,en,banalitet,[banalite:´t],French,"det å være banal; forslitt sannhet, frase; noe som er vanlig, ordinært, kjedelig eller uten særlig originalitet eller interesse","Samlivet starter i en aura av rosa forventninger, som fort går over i hverdagens banaliteter."
banana,A1,en,banan,[bana:´n],Portuguese: banana,avlang frukt med gult skall av bananplanten,Da satt våre fedre som aper i trær og skrelte bananer med hender og tær.
band,A2,et,band,"[bæn:], [bæ:nd]",English,gruppe av musikere som spiller og opptrer sammen,Bandet legger snart ut på turné.
"tape, ribbon, band",A2,et,"bånd, band",,Old Norse: band,"snøre, snor, tau, reip",Hunden gikk pent i båndet på tur.
bandwidth,B2,en,båndbredde,,Old Norse,bredde av et frekvensområde for overføring av analoge eller digitale signaler,
bandit,B1,en,banditt,,Italian via French,"person som handler mot lover, normer eller regler, ofte som medlem av bande; forbryter, røver, kjeltring; person som opptrer uredelig eller truer til seg goder",
cassette tape unspooling,B2,en,"båndsalat, bandsalat",,Old Norse,det at båndet på en kassett tyter ut slik at det er umulig å få det på plass igjen,
"lane, track, orbit",A2,en,bane ,,German,"vei, linje, strekning anlagt for å komme frem, særlig om trafikk; samferdselsmiddel som jernbane eller tunnelbane; linje av bevegelse; vei eller sti til å følge i tankene; livsvei, karriere; oppmerket (del av) idrettsplass; særlig oppmerket spor som utøveren skal holde seg i; den delen av et dekk som ligger mot veien; det stykket av en rull som når fra tak til gulv",Bilen kom over i feil bane.
groundbreaking,B2,adjective,banebrytende,,German,"som innleder utvikling, tar en ny retning; nyskapende, epokegjørende",
pioneer,B2,en,banebryter,,German,person som gjør banebrytende arbeid; pioner,
bank,A2,en,bank,,Old Norse: bakki,"institusjon som tar imot innskudd av penger, gir lån, driver handel med verdipapirer og utfører pengetransaksjonstjenester; bygning der en bank holder til; (reserve)lager, opplagsplass",Jeg må dra til banken for å betale regningen.
knock on wood,B1,expression,bank i bordet,,Old Norse,(sagt samtidig som en banker på noe av tre) motvirke at et optimistisk utsagn utfordrer overnaturlige makter slik at hellet snur,"De har, bank i bordet, aldri blitt skadet. Vi banker i bordet og krysser fingrene."
"knock, beat, throb",A2,verb,banke,,Old Norse: banga,"svinge, bevege hånd eller redskap raskt mot noe og treffe; dunke, kakke; formidle et budskap gjentatte ganger; lage rytmiske lyder eller signaler; slå, pulsere; gi juling; gi bank; denge","Han banket på døren, men ingen åpnet."
underwater bank,B1,en,banke,,Old Norse,"større grunt område i sjøen med dypere vann rundt",
"knock, knock on the door",B1,expression,banke på,,Old Norse,"kakke på en dør, port eller lignende med fingerknokene for å signalisere at en ønsker å komme inn; henvende seg; komme; oppsøke",
poltergeist,C,en,bankeånd,,Old Norse,husspøkelse som lager mystiske (banke)lyder,
bank card,A2,et,bankkort,,,plastkort knyttet til bankkonto som kan brukes som legitimasjon og betalingskort,Jeg betalte med bankkort i butikken.
bank robbery,B1,et,bankran,,Old Norse,ran av pengene i en bank,
"ban, excommunication",B2,et,bann,,,utestenging fra kirkesamfunnet (for kortere eller lengre tid); fordømmelse,
"curse, swear",B1,verb,banne,[ba`n:ə],,"uttrykke sterke følelser gjennom tabuord, ofte ord knyttet til religion, kjønn og så videre",Jeg kan banne på at han ikke var der.
curse word,B1,et,banneord,,,"ord, særlig tabuord, brukt til å uttrykke sterke følelser eller understreke et budskap",
"ban, excommunicate",B2,verb,bannlyse,,,"strengt forby, vise bort",Alkohol og tobakk er bannlyst her i huset.
"bare, naked",A2,adjective,bar ,[ba:r],Danish: bar,"naken, udekt; ublandet, ren",De satte seg på den bare steinen ved stranden.
bar ,A1,en,bar ,[ba:r],English: bar,"lokale der en serverer, handler over en høy disk, særlig om lokale der det blir solgt drikkevarer",Han jobber i baren på hotellet.
bar mitzvah,B2,en,bar mitzva,[ba:r mi´tsva],Hebrew,"jødisk fest, seremoni som markerer at en gutt blir religiøst myndig; jødisk konfirmasjon (for gutter);  jødisk gutt som har fylt 13 år; (mannlig) jødisk konfirmant",Bar mitzva-seremonien markerer overgangen til voksenlivet for jødiske gutter.
barbarian,B2,en,barbar,[barba:´r],Greek,opphavlig: person som ikke var greker eller romer; rå og usivilisert person,
barbarism,B2,et,barbari,,Greek,"mangel på kultur og sivilisasjon; hjerteløshet, råskap",
barbaric,B2,adjective,barbarisk,,Greek,"usivilisert, rå, grusom",De barbariske handlingene under krigen sjokkerte verden og førte til en global fordømmelse.
razor blade,A2,et,barberblad ,,Latin,"tynt, skarpt stålblad som er kniv i barberhøvelen",Det nye barberbladet ga en glatt og behagelig barbering.
shave,A2,verb,barbere,,Latin,"rake, ta skjegget; fjerne eller redusere hår fra hudens overflate ved bruk av en barberhøvel, barbermaskin, eller andre barberingsverktøy",Budsjettet ble barbert med rundt fem millioner kroner.
razor blade,A2,en,barberhøvel,,Latin,"lite redskap med et stålblad til å barbere seg med",Han kjøpte en ny barberhøvel på apoteket.
"only, just",A1,adverb,bare,[ba:`rə],Old Norse: berr,"rett og slett; ikke andre enn, ikke mer enn, kun",Jeg har møtt ham bare én gang.
bark ,A2,en,bark ,,Old Norse,ytterste lag på trestammer og grener; ytterste lag i et organ,Hunden bjeffet høyt og rev i barken på det gamle eiketreet.
clash,B2,verb,barke,,,"bære, fare, sette; komme i fysisk konfrontasjon; ryke, tørne sammen",De to motstanderne barket sammen.
bosom,B2,en,barm,,Old Norse: baðmr,"bringe, bryst; kvinnebryst",
merciful,B2,adjective,barmhjertig,[barmjæ´rti],German,"godhjertet, nådig",Dommeren viste seg barmhjertig og ga den unge lovbryteren en mild straff.
mercy,B2,ei,barmhjertighet,,German,det å være barmhjertig; medlidenhet,"I en handling av barmhjertighet, tilga hun sin tidligere venn for de sårende ordene."
child,A1,et,barn,[ba:rn],Old Norse: barn,avkom i første ledd etter mennesker; person som ikke er voksen; foster; nyfødt barn,Filmen er forbudt for barn.
child of one's time,B2,expression,barn av sin tid,,Old Norse,person formet av tiden han eller hun lever i,
childhood years,B1,et,barneår,,Old Norse,år da en er barn; barndom,"Jeg husker fortsatt de lykkelige barneårene mine, da sommerdagene varte evig og bekymringene var få."
children's book,A2,ei,barnebok,,Old Norse,bok for barn,"Rune Christiansen har tidligere skrevet tre romaner, åtte diktsamlinger og én barnebok."
children's performance,B1,ei,barneforestilling ,,Old Norse,"forestilling (på kino, teater og lignende) for barn","Hun kom inn i det svarte, lange skjørtet og liknet ei ond heks fra en barneforestilling på teatret."
kindergarten,A2,en,barnehage,,German: Kindergarten,pedagogisk tilbud på dagtid for barn under skolepliktig alder,Barna i nabolaget går alle sammen til den samme barnehagen.
orphanage,B1,et,barnehjem,,Old Norse,hjem for barn som trenger omsorg,"Hvis en barneforestilling ikke trakk mange betalende, kunne man distribuere gratisbilletter til barnehjem."
pediatrician,B2,en,barnelege,,,lege som er spesialist i barnesykdommer,
baby food,A2,en,barnemat,,Old Norse,"mat som passer for småbarn; noe lett, enkelt",Å løfte 50 kg var bare barnemat for han.
